state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
BONO EAST,HND,M,Eth-5,01438535,High School Visit,Readmit,"Exercise Science, Human Performance Emphasis",4433,Y,Softball,N,T04,C3,12,11,16,16,17,N,Y,N,N,Y,N,Y,N,Y,Y,N,Y,N,N,N,N,18
Osun,TGO,M,Not Declared,01514794,Capture Higher Ed,Test Optional,"Global Marketplace Engagement, TESOL Emphasis",4907,Y,Dance,Y,T07,C6,8,10,9,15,14,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,9
VT,GBR,Not Declared,Eth-7,01509305,Encoura,Test Optional,"Christian Ministry, Pastoral Ministry Emphasis",2720,N,STUNT,Y,T00,C14,18,5,17,7,19,Y,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,Y,20
Sagaing,BWA,Not Declared,Eth-3,01375549,StriveScan - Scans,Test Optional,"Special Education, Elementary Track",4907,N,Track & Field (Men's),Y,Graduate,C6,18,18,0,16,6,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,16
Nandi,SAU,Not Declared,Eth-3,01444502,CLT Application,Readmit,Undecided,3762,N,Track & Field (Women's),N,T04,C9,10,15,18,12,15,Y,N,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,1
Telangana,CAN,M,Eth-3,01372335,Transcript Received,First-Time Freshman,MBA in Transformational Leadership,3261,Y,Football,Y,T01,C3,18,15,17,1,17,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,13
DAKAR,ZAF,M,Eth-1,01435489,Campus Visit Registration,Second Degree,"Philosophy, Apologetics Emphasis",4826,N,Volleyball,Y,P01,C2,7,3,19,18,20,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,10
CT,CUB,Not Declared,Eth-1,01355049,ACT Tape Load,Second Degree,Creative Media,4393,N,Soccer,Y,P01,C6,0,18,10,3,14,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,16
Bong,TZA,Not Declared,Eth-8,01326485,GTCF Matchmaker,Second Degree,Early Childhood Education,2794,N,Marching Band,Y,Homeschool,C10,5,4,9,3,7,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,Y,Y,19
Punjab,ARE,M,Eth-5,01498878,Encoura,Second Degree,"Chemistry, Forensic Emphasis",2069,N,Track & Field (Men's),Y,T02,C10,15,10,20,2,8,N,Y,N,Y,Y,Y,N,Y,N,N,N,N,Y,N,N,Y,15
Nimba,URY,M,Eth-2,01470644,Text Message,Readmit,Finance,2142,Y,STUNT,Y,T01,C7,8,15,19,13,15,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,Y,3
KANESHIE,MWI,Not Declared,Eth-2,01460130,Not Declared,Test Optional,Chemistry,4905,Y,STUNT,Y,T06,C7,18,10,9,14,2,N,N,N,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,11
Kaduna,ROU,Not Declared,Eth-7,01444461,Capture Higher Ed,Test Optional,"Special Education, Early Childhood Track",2029,N,Basketball (Women's),N,P01,C6,20,8,11,11,6,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,15
OH,ZWE,Not Declared,Not Declared,01441245,Christian Connector Web Response,First-Time Freshman,Applied Mathematics: Data Science Emphasis,3948,N,Track & Field (Women's),N,T07,C14,11,16,3,13,16,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,3
East Kazakhstan,MAR,Not Declared,Eth-2,01312713,Private Colleges & Universities,First-Time Freshman,Fine Arts,3862,Y,STUNT,N,T06,C2,2,17,19,11,11,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,Y,N,4
