state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
Centre,NPL,M,Eth-9,01520412,ACT Tape Load,Test Optional,"Biology, Forensic Emphasis",2029,N,Softball,N,T06,C8,7,15,17,15,8,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,19
Dar es Salaam,WSM,M,Eth-3,01534069,FAFSA,First-Time Freshman,Music Education,2116,N,Track & Field (Men's),N,T07,C11,18,15,9,4,11,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,Y,N,N,2
Sagaing,UGA,Not Declared,Eth-5,01559965,GTCF Matchmaker,Second Degree,Biochemistry,2779,Y,Football,Y,T05,C6,18,17,12,20,8,N,Y,N,Y,N,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,17
Fars,IRN,Not Declared,Eth-4,01365667,ACT Tape Load,Second Degree,"Special Education, Early Childhood Track",3749,Y,Marching Band,N,Homeschool,C14,12,11,4,8,7,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,N,Y,N,5
Purwanchal,TJK,Not Declared,Eth-5,01576993,New Mexico Annual Convention,Readmit,"Psychology, Pre-Counseling",2779,Y,Dance,Y,T04,C7,18,5,3,10,16,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,Y,Y,5
OR,URY,Not Declared,Eth-1,01412034,Encoura Affinity Connection,Transfer,MBA in Transformational Leadership,2779,N,Marching Band,N,T03,C8,13,2,3,11,4,N,Y,N,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,N,3
Saint Catherine,ZWE,M,Eth-9,01491673,Niche Inquiries,First-Time Freshman,"Special Education, Elementary Track",3930,Y,Dance,Y,Homeschool,C6,2,8,11,19,4,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,2
Balochistan,CAN,Not Declared,Eth-7,01407745,Christian Connector Web Response,Readmit,"Mathematics Education, Secondary",4194,N,Dance,N,T04,C14,7,6,10,5,19,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,Y,18
ETHIOPIA,DEU,M,Eth-7,01350913,GenWhy,First-Time Freshman,"Sports and Recreation, Camp Administration Emphasis",2779,Y,Not Declared,N,Graduate,C3,2,11,19,17,2,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,N,Y,N,N,17
Antananarivo,VNM,M,Eth-5,01594850,Campus Visit Attended,Transfer (24+ Hours),"Sports and Recreation, Camp Administration Emphasis",2794,Y,Softball,N,T02,C10,1,3,2,6,16,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,2
Madhya Pashchimanchal,ARE,Not Declared,Eth-1,01347912,Bison Day Registration,Readmit,"Biblical and Theological Studies, Practical Theology Emphasis",2190,Y,STUNT,N,T01,C3,7,11,14,17,14,N,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,20
SOUTHWEST REGION,ARE,M,Eth-5,01347088,Phone Call - Unsuccessful,Transfer (24+ Hours),Elementary Education,3935,Y,Not Declared,N,T04,C5,15,17,9,8,16,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,17
Centre,NPL,Not Declared,Eth-3,01316295,Christian Connector,Transfer (24+ Hours),"Biblical and Theological Studies, Biblical Studies Emphasis",2734,Y,Volleyball,Y,T01,C9,7,14,4,13,8,N,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,19
PUNJAB,NZL,Not Declared,Eth-1,01340531,Text Message,Transfer (24+ Hours),"Biology, Forensic Emphasis",2816,N,Marching Band,Y,P02,C9,11,8,12,16,14,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,13
Mpumalanga,URY,Not Declared,Eth-5,01324562,Inquiry Form,Test Optional,Management,3755,N,Football,N,T02,C8,11,2,19,20,2,N,Y,N,N,Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,1
Kwara,CYP,Not Declared,Eth-4,01341490,College Raptor,Test Optional,Alternative Teaching Certificate,3755,Y,Softball,N,P02,C3,10,18,13,15,18,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,2
West Coast Division,ZMB,M,Eth-4,01540303,CLT Application,First-Time Freshman,History,3530,Y,Football,Y,P02,C8,11,17,3,6,6,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,2
Tashkent,GHA,M,Eth-6,01443388,Oklahoma Promise,Transfer (24+ Hours),"Biblical and Theological Studies, History and Theology Emphasis",4174,N,Golf,Y,P01,C12,11,15,14,17,8,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,13
Bujumbura,LSO,Not Declared,Eth-3,01319270,Inquiry Card,Transfer (24+ Hours),"Chemistry, Forensic Emphasis",2837,Y,Softball,Y,P01,C4,11,19,17,13,0,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,17
GREATER ACCRA,CZE,M,Eth-9,01449034,High School Visit,Transfer,Business Administration,2697,N,Track & Field (Men's),Y,T00,C7,0,18,8,2,20,N,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,N,Y,6
RIO GRANDE DO NORTE,KWT,M,Eth-7,01352474,ACT Tape Load,Readmit,"Chemistry, Forensic Emphasis",3052,N,Not Declared,Y,Raley College,C4,8,18,0,2,3,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,Y,N,N,N,15
FERGANA,PAK,Not Declared,Eth-2,01440389,Capture Higher Ed,Transfer (24+ Hours),Applied Mathematics: Data Science Emphasis,4752,N,Football,Y,P02,C2,12,10,3,7,6,Y,Y,N,Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,N,16
