state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
KwaZulu-Natal,CHE,Not Declared,Eth-2,01437938,Church Visit,First-Time Freshman,Graphic Design,3369,Y,Track & Field (Men's),Y,T03,C13,15,0,8,4,0,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,1
Central,KWT,M,Eth-9,01503037,ACT Tape Load,Test Optional,Art,3169,Y,Softball,Y,T00,C11,8,14,11,18,9,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,8
Maharashtra,MDG,M,Eth-7,01572095,Paper Application,Second Degree,"Mathematics Education, Secondary",3547,N,Marching Band,Y,P02,C4,1,2,0,15,16,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,Y,Y,Y,13
AE,HKG,M,Eth-9,01338127,Inquiry Form,First-Time Freshman,"Journalism and Mass Communication, Media Production Emphasis",3230,N,Basketball (Women's),Y,P02,C6,0,18,9,7,20,Y,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,15
Kigali,VNM,Not Declared,Eth-4,01512981,GenWhy,First-Time Freshman,"Social Sciences Education, Secondary",3755,Y,Football,Y,P02,C13,10,0,17,11,11,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,5
Imo,TZA,Not Declared,Eth-7,01466125,RNL Junior Search,Readmit,Undecided,3890,Y,Football,N,T01,C5,11,2,18,12,0,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,4
NJ,VNM,Not Declared,Eth-5,01339905,Clark Higher Ed Quick App,Readmit,"Spanish Education, P-12",4799,Y,Dance,N,T06,C8,8,14,4,15,18,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,2
MN,PNG,M,Eth-6,01540163,Phone Call - Unsuccessful,Second Degree,Family Therapy,2837,Y,Soccer,N,T02,C9,11,18,19,20,7,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,Y,5
Chittagong Division,KWT,Not Declared,Eth-7,01455023,CollegExpress,Second Degree,Creative Media,4958,Y,Football,N,T07,C6,2,14,9,9,5,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,4
Scotland,NGA,M,Eth-7,01328291,Jump Forward Athletic Website,Transfer,Family Therapy,2826,N,Golf,N,T01,C13,11,8,17,8,8,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,11
Gauteng,SLV,Not Declared,Eth-3,01593185,Not Declared,Second Degree,Forensic Psychology,2400,N,Softball,N,Raley College,C5,10,0,3,10,10,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,15
Telangana,UZB,Not Declared,Eth-5,01364364,Next Step Magazine,Transfer (24+ Hours),"Global Marketplace Engagement, Graphic Design Emphasis",3692,Y,STUNT,N,P02,C4,14,0,18,8,11,N,N,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,19
WI,PNG,M,Eth-9,01496662,RNL Junior Search,Transfer (24+ Hours),Theatre,4784,Y,Not Declared,Y,T05,C7,10,2,0,20,7,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,10
Western Cape,CUB,M,Eth-6,01452588,Bison Day Attended,Test Optional,Engineering - Mechanical Engineering,3823,Y,Volleyball,N,Raley College,C11,18,14,12,11,18,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,16
IL,ZWE,M,Eth-4,01528553,College Fair Contact,Test Optional,"Biblical and Theological Studies, Biblical Studies Emphasis",3755,Y,Dance,N,T04,C2,11,17,11,16,10,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,17
Ulaanbaatar,USA,Not Declared,Eth-7,01376263,CLT Prospect,Readmit,Applied Mathematics: Data Science Emphasis,3289,Y,Basketball (Men's),Y,Raley College,C4,11,5,13,1,15,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,Y,Y,1
Enugu,IRN,M,Eth-5,01450110,Next Step Magazine,First-Time Freshman,Finance,2039,Y,Football,N,Raley College,C8,18,13,18,2,8,N,N,Y,Y,Y,N,N,Y,N,N,Y,N,N,N,N,N,13
