state,country,gender,ethnicity,studentIDs,originSource,studentType,major,financialAidOfferedAmount,athlete,sport,raleyCollegeTagExists,recruitingTerritory,counselor,counselorIncomingTextCount,counselorOutgoingTextCount,phoneSuccessfulCount,phoneUnsuccessfulCount,phoneVoicemailCount,admittedStudentsDay,bisonDay,bisonDayAtTheWeekend,campusVisit,dallasBisonExclusive,footballVisit,golfVisit,oklahomaCityBisonExclusive,scholarsBisonDay,scholarsMixerAndBanquet,scholarshipInterview,scholarshipInterviewRegistration,softballVisit,trackVisit,tulsaBisonExclusive,volleyballVisit,eventsAttendedCount
NH,ETH,Not Declared,Eth-1,01453430,Campus Visit Registration,Transfer (24+ Hours),"Psychology, Pre-Counseling",3890,Y,Dance,Y,P02,C4,9,19,16,0,7,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,13
LA,CZE,M,Eth-8,01365930,Website Inquiry,First-Time Freshman,"Biblical and Theological Studies, Practical Theology Emphasis",2501,N,Dance,N,P01,C7,10,13,19,12,19,N,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,15
Saint James,NPL,M,Not Declared,01415435,Jump Forward Athletic Website,Readmit,Physics,3755,N,Basketball (Women's),Y,T03,C10,8,11,6,10,15,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,3
ANAMBRA,ROU,Not Declared,Eth-4,01460778,ACT Tape Load,Test Optional,Undecided,3155,N,Soccer,N,T03,C6,7,1,10,4,5,Y,N,N,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,1
Parana,CHL,Not Declared,Eth-2,01437978,Clark Higher Ed Paid Social,Second Degree,"Biology, Forensic Emphasis",2779,N,Not Declared,N,T03,C2,8,5,17,10,11,N,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,19
Dubai,CZE,Not Declared,Eth-2,01578622,Campus Visit Registration,Second Degree,Early Childhood Education,4002,N,Football,N,P02,C14,4,3,5,5,20,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,14
SD,WSM,M,Not Declared,01355349,Transcript Received,Second Degree,Biology,3948,N,Football,Y,T00,C7,10,12,12,11,8,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,4
ME,SAU,M,Eth-4,01388999,Phone Call - Successful,Transfer (24+ Hours),Project Management,2069,N,Basketball (Women's),N,T02,C6,11,15,8,20,16,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,N,N,N,17
Eastern Cape,HND,Not Declared,Eth-2,01331191,Clark Higher Ed Quick App,Transfer (24+ Hours),Christian Studies,3687,N,Soccer,N,T06,C9,11,19,16,6,17,N,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,Y,N,13
MO,SSD,Not Declared,Eth-4,01481437,Referral - OBU Faculty Member,Second Degree,Music Composition,3658,N,Golf,N,T03,C11,18,17,3,5,4,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,14
Central River Division,SSD,Not Declared,Eth-3,01527357,ACT Tape Load,First-Time Freshman,Family Science,3547,N,Softball,Y,T00,C8,0,0,3,4,2,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,Y,4
Lambayeque,HKG,M,Eth-3,01339303,NRCCUA Declared Names,Second Degree,Computer Science,2720,N,Marching Band,Y,P01,C6,16,13,14,4,10,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,3
JANAKPUR,LKA,M,Eth-9,01442756,Capture Higher Ed,Test Optional,"Chemistry, Forensic Emphasis",3794,Y,Dance,N,Graduate,C7,12,12,7,2,8,N,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,13
IN,ITA,M,Eth-4,01549509,Christian Connector,Second Degree,"Science Education, Secondary",4907,Y,Dance,Y,T07,C2,5,2,3,6,12,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,Y,N,N,4
VA,BHS,Not Declared,Eth-5,01594214,Campus Visit Attended,Second Degree,"Computer Science, Interdisciplinary Emphasis",3552,N,Football,N,T03,C5,10,8,12,16,11,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,1
ISLAMABAD CAPITAL TERRITORY,COD,M,Eth-6,01310915,RNL Junior Search,Test Optional,Music Education,3289,Y,Dance,N,P01,C12,12,1,8,8,17,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,11
VT,CZE,M,Not Declared,01526341,ACT Tape Load,Test Optional,"Piano Performance, Pedagogy Emphasis",4103,Y,STUNT,N,T03,C5,14,20,19,2,3,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,N,5
West,BWA,M,Eth-2,01393672,STEM Camp,First-Time Freshman,Engineering - Systems Engineering,2992,Y,Softball,Y,P01,C12,5,2,0,17,18,N,N,Y,N,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,17
